Company Name,Ticker,Country,Sector,Subsector, Overall ESG RATING, Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
Hana Microelectronics Public Company Limited,HANA,TH,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,BBB,4.8,2.1,5.4,4.7
Hanalogis No1,,KR,Banks,Diversified Banks,A,7.0,5.4,4.4,5.7
Hanesbrands Finance Luxembourg SCA,,LU,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",AA,8.1,5.1,6.1,5.6
Hang Seng Bank (China) Limited,,CN,Banks,Diversified Banks,AA,8.4,4.6,4.9,6.6
Hang Seng Bank Limited,11,HK,Banks,Diversified Banks,AA,8.4,4.6,4.9,6.6
Hangzhou Lion Electronics Co Ltd,605358,CN,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,B,1.8,4.1,2.7,4.7
Hangzhou Robam Appliances Co Ltd,002508,CN,Household Durables,Household Appliances,BBB,4.5,3.5,6.0,3.0
"Hangzhou Silan Microelectronics Co, Ltd",600460,CN,Semiconductors & Semiconductor Equipment,Semiconductors,B,2.4,5.8,6.1,1.3
"Hangzhou Tigermed Consulting Co, Ltd",300347,CN,Health Care Equipment & Supplies,Life Sciences Tools & Services,BBB,4.7,8.2,6.2,4.3
"Hankyu Hanshin Holdings, Inc",9042,JP,Road & Rail Transport,Railroads,AAA,9.7,6.9,6.8,3.1
"Hankyu Hanshin REIT, Inc",8977,JP,Real Estate Management & Services,Diversified REITs,BB,3.4,6.5,2.8,4.4
"Hanmi Pharm Co, Ltd",128940,KR,Pharmaceuticals,Pharmaceuticals,BB,3.6,3.9,5.3,2.3
Hannover Finance (Luxembourg) SA,,LU,Multi-Line Insurance & Brokerage,Multi-line Insurance,A,5.9,2.7,6.0,6.7
Hannover Rueck SE,HNR1,DE,Multi-Line Insurance & Brokerage,Reinsurance,A,7.0,4.5,6.7,5.2
Hanon Systems,018880,KR,Auto Components,Auto Parts & Equipment,BBB,5.3,4.0,4.0,5.5
Hansa Biopharma AB,HNSA,SE,Biotechnology,Biotechnology,BBB,5.5,4.7,4.9,4.9
"Hansol Chemical Co, Ltd",014680,KR,Specialty Chemicals,Specialty Chemicals,CCC,0.0,2.3,0.0,4.3
Hanwha Defense,,KR,Aerospace & Defense,Aerospace & Defense,BB,3.0,4.5,3.8,3.2
Hanwha Engineering & Construction Corp,HANWH,KR,Industrial Conglomerates,Industrial Conglomerates,BBB,5.6,4.8,5.8,3.2
Hapag-Lloyd Aktiengesellschaft,HLAG,DE,Marine Transport,Marine,BBB,5.6,5.7,3.9,5.8
Hapoalim International NV,,CW,Banks,Diversified Banks,AA,8.3,6.1,5.3,6.6
Hapvida Participacoes e Investimentos SA,HAPV3,BR,Health Care Providers & Services,Managed Health Care,BB,4.2,8.0,3.9,5.3
"Harim Holdings Co, Ltd",003380,KR,Food Products,Packaged Foods & Meats,CCC,1.4,1.1,4.3,3.5
Harmonic Drive Systems Inc,6324,JP,Industrial Machinery,Industrial Machinery,B,2.0,4.1,5.6,2.7
Harmony Biosciences Holdings Inc,HRMY,US,Pharmaceuticals,Pharmaceuticals,BBB,4.9,3.1,4.2,4.7
Hartalega Holdings Bhd,HARTA,MY,Health Care Equipment & Supplies,Health Care Supplies,AA,8.4,10.0,7.0,5.8
Harvia Oyj,HARVIA,FI,Household Durables,Leisure Products,AA,7.9,3.7,4.4,6.7
"Hasbro, Inc",HAS,US,Leisure Products,Leisure Products,AAA,10.0,7.9,6.5,6.4
"Hawkins, Inc",HWKN,US,Commodity Chemicals,Commodity Chemicals,BBB,5.7,3.7,1.1,6.7
Heba Fastighets Aktiebolag,HEBA B,SE,Real Estate Management & Services,Real Estate Operating Companies,A,7.1,5.5,7.9,5.5
Hebei Yangyuan ZhiHui Beverage Co Ltd,603156,CN,Food Products,Packaged Foods & Meats,BB,4.1,1.0,6.0,3.7
"HeeMang Sunlight Power Co, Ltd",,KR,Utilities,Electric Utilities,BB,3.9,5.1,6.1,3.7
Hefei Meyer Optoelectronic Technology Inc,002690,CN,Industrial Machinery,Industrial Machinery,B,2.3,2.3,6.3,4.5
HeidelbergCement AG,HEI,DE,Construction Materials,Construction Materials,AA,8.4,6.5,3.6,6.7
HeidelbergCement Finance Luxembourg SA,,LU,Construction Materials,Construction Materials,AA,8.4,6.5,3.6,6.7
Heidelberger Druckmaschinen Aktiengesellschaft,HDD,DE,Industrial Machinery,Industrial Machinery,BBB,4.3,4.8,0.9,6.3
Heilongjiang Agriculture Company Limited,600598,CN,Food Products,Agricultural Products,CCC,0.3,2.5,2.1,2.7
Heineken Holding NV,HEIO,NL,Beverages,Brewers,A,6.5,6.0,7.1,3.0
Heineken NV,HEIA,NL,Beverages,Brewers,AA,8.1,6.0,7.1,4.9
Heinz Brasil SA,,BR,Food Products,Packaged Foods & Meats,BBB,5.4,4.1,5.0,4.4
Heiwa Corporation,6412,JP,Leisure Products,Leisure Products,BB,2.9,4.4,5.4,2.7
"Helixmith Co, Ltd",084990,KR,Biotechnology,Biotechnology,CCC,0.0,1.8,3.2,2.4
Hello Group Inc,MOMO,CN,Interactive Media & Services,Interactive Media & Services,B,1.9,6.4,2.4,3.3
HelloFresh SE,HFG,DE,Retail - Food & Staples,Food Retail,A,5.9,2.7,4.5,6.0
Helsingin Seudun Osuuspankki,,FI,Banks,,AA,8.57,7.1,4.7,6.8
Helvetia Holding AG,HELN,CH,Multi-Line Insurance & Brokerage,Multi-line Insurance,BBB,5.0,5.3,4.4,6.5
Helvetia Schweizerische Versicherungsgesellschaft AG,,CH,Multi-Line Insurance & Brokerage,Multi-line Insurance,BBB,5.0,5.3,4.4,6.5
Helvetia Versicherungen AG,,AT,Multi-Line Insurance & Brokerage,Multi-line Insurance,BBB,5.0,5.3,4.4,6.5
"Henan Shuanghui Investment & Development Co, Ltd",000895,CN,Food Products,Packaged Foods & Meats,BB,3.8,2.4,4.4,3.9
Henderson Land MTN Limited,,HK,Real Estate Development & Diversified Activities,Real Estate Development,BB,4.1,6.0,4.9,1.1
"Hengda Real Estate Group Co, Ltd",,CN,Real Estate Development & Diversified Activities,Real Estate Development,CCC,1.2,3.7,0.3,2.3
"Hengtong Optic-Electric CO,LTD",600487,CN,"Technology Hardware, Storage & Peripherals",Communications Equipment,B,2.1,7.2,3.0,3.2
"Hengyi Petrochemical Co, Ltd",000703,CN,Commodity Chemicals,Commodity Chemicals,B,1.6,2.2,4.0,4.1
Henkel AG & Co KGaA,HEN,DE,Household & Personal Products,Household Products,AA,7.6,6.1,5.8,5.9
Hennge KK,4475,JP,Software & Services,Internet Services & Infrastructure,BB,4.0,4.0,5.1,2.7
Hensoldt AG,HAG,DE,Aerospace & Defense,Aerospace & Defense,AA,8.5,2.3,5.3,6.8
Hera SpA,HER,IT,Utilities,Multi-Utilities,A,5.8,6.7,5.1,4.0
Herfy Food Services Company SJSC,6002,SA,Restaurants,Restaurants,CCC,1.1,2.9,3.0,4.8
Hero Asia Investment Limited,,HK,Utilities,Renewable Electricity,A,6.3,8.9,6.9,2.8
Hertz Holdings Netherlands BV,,NL,Road & Rail Transport,Trucking,BBB,5.6,7.0,3.6,5.1
Hexagon Aktiebolag,HEXA B,SE,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,BBB,5.5,3.7,5.1,4.4
Hexagon Purus ASA,HPUR,NO,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,A,5.9,4.9,6.1,4.0
Hexatronic Group AB,HTRO,SE,Electrical Equipment,Electrical Components & Equipment,AA,8.1,3.7,8.5,6.1
Hexion International Cooperatief UA,,NL,Diversified Chemicals,Specialty Chemicals,B,2.4,3.0,3.3,5.5
"Heze High Tech City Construction Investment Co, Ltd",,CN,Supranationals & Development Banks,,CCC,1.3,1.7,6.0,2.3
HiQ International AB,,SE,Software & Services,IT Consulting & Other Services,BBB,4.3,3.6,2.8,6.3
Hiday Hidaka Corp,7611,JP,Restaurants,Restaurants,B,2.5,1.5,4.7,4.0
Hidrovias International Finance Sa rl,,LU,Transportation Infrastructure,Marine,BBB,4.4,5.4,3.4,3.0
Hidrovias do Brasil SA,HBSA3,BR,Transportation Infrastructure,Marine,BBB,4.4,5.4,3.4,3.0
Highland Holdings Sa rl,,LU,Industrial Machinery,Industrial Machinery,BBB,5.4,4.9,2.1,6.9
Highwealth Construction Corp,2542,TW,Real Estate Development & Diversified Activities,Real Estate Development,B,2.2,3.6,1.3,3.0
Highwoods Realty Limited Partnership,,US,Real Estate Management & Services,Office REITs,BB,3.9,6.9,1.7,5.4
Hims & Hers Health Inc,HIMS,US,Health Care Providers & Services,Health Care Services,BBB,5.3,5.9,5.9,2.7
Hioki EE Corp,6866,JP,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,BB,3.2,2.9,4.1,3.6
Hippo Holdings Inc,HIPO,US,Property & Casualty Insurance,Insurance Brokers,CCC,0.7,0.2,2.5,5.9
"Hirogin Holdings, Inc",7337,JP,Banks,Regional Banks,BBB,5.1,3.6,4.6,3.9
Hirslanden AG,,CH,Health Care Providers & Services,Health Care Facilities,AAA,9.3,8.5,7.3,5.6
"Hitachi Construction Machinery Co, Ltd",6305,JP,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,AA,7.9,5.6,7.2,5.2
Hitachi International(Holland)BV,,NL,Industrial Conglomerates,Industrial Conglomerates,A,7.0,6.0,3.2,6.6
"Hitachi Metals, Ltd",5486,JP,Steel,Steel,A,6.8,5.1,4.7,4.1
"Hitachi Transport System, Ltd",9086,JP,Road & Rail Transport,Trucking,AAA,9.7,9.4,4.6,5.1
Hitachi Zosen Corporation,7004,JP,Industrial Machinery,Industrial Machinery,AA,8.0,7.1,5.4,5.2
"Hitachi, Ltd",6501,JP,Industrial Conglomerates,Industrial Conglomerates,A,7.0,6.0,3.2,6.6
"Hithink RoyalFlush Information Network Co, Ltd",300033,CN,Diversified Financials,Financial Exchanges & Data,B,1.7,6.5,1.6,4.2
"Hokkaido Electric Power Company, Incorporated",9509,JP,Utilities,Electric Utilities,BBB,4.4,5.7,3.9,3.4
"Hokkaido Electric Power Network, Inc",,JP,Utilities,Electric Utilities,BBB,4.4,5.7,3.9,3.4
"Hokkoku Financial Holdings, Inc",7381,JP,Banks,Regional Banks,BBB,5.0,2.0,4.7,2.7
Hokuetsu Corporation,3865,JP,Paper & Forest Products,Paper Products,BBB,5.4,5.4,5.8,3.7
"Hokuhoku Financial Group, Inc",8377,JP,Banks,Regional Banks,BBB,4.9,3.6,4.1,4.4
Hokuriku Electric Power Company,9505,JP,Utilities,Electric Utilities,B,2.5,4.4,2.0,2.6
Holcim AG,HOLN,CH,Construction Materials,Construction Materials,A,6.7,4.4,4.9,4.9
Holcim Helvetia Finance AG,,CH,Construction Materials,Construction Materials,A,6.7,4.4,4.9,4.9
Holcim Sterling Finance (Netherlands) BV,,NL,Construction Materials,Construction Materials,A,6.7,4.4,4.9,4.9
Holcim US Finance S a rl & Cie SCS,LHN,LU,Construction Materials,Construction Materials,A,6.7,4.4,4.9,4.9
Holley Inc,HLLY,US,Auto Components,Auto Parts & Equipment,B,1.7,2.8,3.5,3.5
Holmen Aktiebolag,HOLM B,SE,Paper & Forest Products,Paper Products,AA,8.3,6.4,10.0,4.5
Home Capital Group Inc,HCG,CA,Banks,Thrifts & Mortgage Finance,BB,4.2,3.5,3.3,6.3
Home Obligors Mortgage Enhanced Securities (RF) Limited,,ZA,Banks,Diversified Banks,AA,8.57,10.0,4.6,6.2
Home Product Center Public Company Limited,HMPRO,TH,Retail - Consumer Discretionary,Home Improvement Retail,AA,7.3,5.6,6.8,3.0
Home24 SE,H24,DE,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,A,6.1,3.9,5.9,4.3
HomeCo Daily Needs REIT,HDN,AU,Real Estate Management & Services,Retail REITs,CCC,0.0,0.2,0.1,6.9
Homology Medicines Inc,FIXX,US,Biotechnology,Biotechnology,A,6.9,7.1,4.5,6.2
Honda Bank GmbH,,DE,Automobiles,Automobile Manufacturers,A,7.1,8.5,1.8,5.4
Honda Leasing (Thailand) Company Limited,,TH,Automobiles,Automobile Manufacturers,A,7.1,8.5,1.8,5.4
Honest Company Inc,HNST,US,Household & Personal Products,Personal Products,B,2.4,2.1,2.8,5.4
Hong Kong Dongshan Holding Limited,,HK,"Electronic Equipment, Instruments & Components",Electronic Components,CCC,0.6,3.2,2.6,4.7
Hong Kong Exchanges and Clearing Limited,388,HK,Diversified Financials,Financial Exchanges & Data,AA,7.6,9.0,3.3,6.5
Hong Kong Red Star Macalline Universal Home Furnishings Limited,,HK,Real Estate Management & Services,Real Estate Operating Companies,BB,3.9,3.3,7.3,4.6
Hong Kong Technology Venture Company Limited,1137,HK,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,BBB,5.1,6.5,4.6,3.6
"Hongfa Technology Co, Ltd",600885,CN,Electrical Equipment,Electrical Components & Equipment,CCC,0.0,4.5,3.8,2.8
Hongkong Land Holdings Limited,H78,BM,Real Estate Management & Services,Real Estate Operating Companies,BB,2.9,6.0,5.7,2.8
Hopson Capital International Group Co Ltd,,VG,Real Estate Development & Diversified Activities,Real Estate Development,BBB,4.9,4.6,3.7,4.3
Horse Gallop Finance Limited,,VG,Investment Banking & Brokerage,Diversified Banks,BBB,5.1,4.3,4.0,5.3
"Hoshine Silicon Industry Co, Ltd",603260,CN,Specialty Chemicals,Specialty Chemicals,CCC,0.4,1.9,1.3,3.2
"Hoshino Resorts REIT, Inc",3287,JP,Real Estate Management & Services,Hotel & Resort REITs,B,2.4,4.6,2.2,6.3
Hosiden Corporation,6804,JP,"Electronic Equipment, Instruments & Components",Electronic Components,B,1.9,2.5,4.3,3.9
Housing 21,HOUIG,GB,Real Estate Management & Services,,A,6.3,2.8,5.6,8.1
Hrvatska Elektroprivreda dd,HEPDD,HR,Utilities,,BBB,5.1,7.3,5.9,1.9
"HuBei XingFa Chemical Group Co, Ltd",600141,CN,Commodity Chemicals,Commodity Chemicals,CCC,0.3,2.8,1.3,2.4
"Hua Xia Bank Co, Limited, Hong Kong Branch",,HK,Banks,Diversified Banks,BBB,4.9,3.7,4.6,3.8
"Huachen Energy Co, Ltd",,CN,Metals and Mining - Non-Precious Metals,Independent Power Producers & Energy Traders,B,2.1,2.1,2.8,2.6
Huadian Power International Corporation Limited,600027,CN,Utilities,Independent Power Producers & Energy Traders,CCC,0.5,2.3,3.1,3.0
"Huafon Chemical Co, Ltd",002064,CN,Commodity Chemicals,Commodity Chemicals,CCC,0.0,2.2,1.0,2.5
Huagong Tech Company Limited,000988,CN,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,B,1.6,3.4,3.5,3.6
"Huaneng International Power Jiangsu Energy Development Co, Ltd",,CN,Utilities,Independent Power Producers & Energy Traders,CCC,0.0,2.5,3.6,1.6
"Huarong Finance 2017 Co, Ltd",,HK,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
"Huarong Finance 2019 Co, Ltd",,HK,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
"Huarong Finance II Co, Ltd",HRAMG,HK,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
"Huarong Industry Investment Management Co, Ltd",,CN,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
"Huarong Rongde Asset Management Co, Ltd",,CN,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
"Huarong Securities Co, Ltd",,CN,Asset Management & Custody Banks,Asset Management & Custody Banks,B,2.6,8.0,3.5,2.2
Huatai International Finance I Limited,,VG,Investment Banking & Brokerage,Investment Banking & Brokerage,A,6.6,6.5,2.9,5.2
Huatai International Finance Limited,,VG,Investment Banking & Brokerage,Investment Banking & Brokerage,A,6.6,6.5,2.9,5.2
Huatai International Financial Products Limited,,VG,Investment Banking & Brokerage,Investment Banking & Brokerage,A,6.6,6.5,2.9,5.2
"Huawei Investment & Holding Co, Ltd",HWUIN,CN,"Technology Hardware, Storage & Peripherals",,BBB,5.5,3.6,5.5,2.5
"Huaxi Securities Co, Ltd",002926,CN,Investment Banking & Brokerage,Investment Banking & Brokerage,BB,2.9,2.0,2.2,4.7
"Huaxia Financial Leasing Co, Ltd",,CN,Banks,Diversified Banks,BBB,4.9,3.7,4.6,3.8
"Huaxin Cement Co, Ltd",600801,CN,Construction Materials,Construction Materials,BB,2.9,1.7,3.3,5.0
Huaxin Cement International Finance Company,,CN,Construction Materials,Construction Materials,BB,2.9,1.7,3.3,5.0
Hub24 Ltd,HUB,AU,Investment Banking & Brokerage,Investment Banking & Brokerage,BBB,5.7,7.0,3.8,7.5
Huber+Suhner AG,HUBN,CH,Electrical Equipment,Electrical Components & Equipment,BB,3.3,3.3,5.7,4.8
Hudbay Minerals Inc,HBM,CA,Metals and Mining - Non-Precious Metals,Diversified Metals & Mining,AA,7.7,3.6,5.3,6.0
Hufvudstaden AB,HUFV A,SE,Real Estate Management & Services,Real Estate Operating Companies,A,6.6,7.6,8.8,3.2
Hugel Inc,145020,KR,Biotechnology,Biotechnology,CCC,0.0,3.9,3.2,2.7
Hughes Satellite Systems Corporation,,US,Telecommunication Services,Alternative Carriers,BB,3.7,6.7,5.5,2.0
Huhtamaki Oyj,HUH1V,FI,Containers & Packaging,Paper Packaging,BBB,5.2,4.8,3.4,6.8
Huizhou Desay SV Automotive Co Ltd,002920,CN,Auto Components,Auto Parts & Equipment,B,1.7,3.5,3.7,3.4
"Hulic Co,Ltd",3003,JP,Real Estate Management & Services,Real Estate Operating Companies,AA,7.6,5.6,7.4,6.2
"Hulic Reit, Inc",3295,JP,Real Estate Management & Services,Diversified REITs,A,6.1,7.4,4.6,5.2
Humacyte Inc,HUMA,US,Biotechnology,Biotechnology,A,6.9,7.1,4.8,5.7
"Humanwell Healthcare (Group) Co, Ltd",600079,CN,Pharmaceuticals,Pharmaceuticals,CCC,1.3,4.4,3.0,2.8
Hunan Changyuan Lico Co Ltd,688779,CN,Commodity Chemicals,Commodity Chemicals,CCC,0.8,2.7,0.0,3.1
"Hunan Valin Steel Co, Ltd",000932,CN,Steel,Steel,CCC,0.8,2.7,4.0,1.5
Hundsun Technologies Inc,600570,CN,Software & Services,Application Software,BBB,4.5,2.9,4.5,4.7
"Huons Global Co, Ltd",084110,KR,Pharmaceuticals,Pharmaceuticals,B,2.8,2.1,3.8,3.2
Husky Energy Inc,CVE,CA,Integrated Oil & Gas,Integrated Oil & Gas,A,6.5,4.0,6.6,7.1
Husqvarna Aktiebolag,HUSQ B,SE,Construction & Farm Machinery & Heavy Trucks,Agricultural & Farm Machinery,AA,8.5,4.7,6.5,6.2
Hydro One Inc,H,CA,Utilities,Electric Utilities,AA,8.4,8.3,6.8,5.5
Hydro-Quebec,HYDQB,CA,Utilities,,AA,8.2,9.0,7.3,4.8
Hydrofarm Holdings Group Inc,HYFM,US,Construction & Farm Machinery & Heavy Trucks,Agricultural & Farm Machinery,BBB,4.9,3.0,4.1,5.7
"Hygeia Healthcare Holdings Co, Ltd",6078,CN,Health Care Providers & Services,Health Care Facilities,BBB,5.1,7.7,5.0,4.1
Hyliion Holdings Corp,HYLN,US,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,A,6.2,3.7,5.3,5.8
Hyosung Advanced Materials Corporation,298050,KR,Commodity Chemicals,Commodity Chemicals,BB,3.2,4.7,2.3,1.8
Hyosung Chemical Corporation,298000,KR,Commodity Chemicals,Commodity Chemicals,CCC,0.8,3.5,0.4,3.1
Hyosung Heavy Industries Corporation,298040,KR,Electrical Equipment,Heavy Electrical Equipment,B,2.2,6.2,5.4,2.7
Hyosung TNC Corporation,298020,KR,Commodity Chemicals,Commodity Chemicals,BB,3.5,4.2,5.2,0.9
Hypera SA,HYPE3,BR,Pharmaceuticals,Pharmaceuticals,BBB,5.4,3.3,5.0,3.6
Hypo Vorarlberg Bank AG,VORAR,AT,Banks,,BBB,5.4,5.8,3.6,5.1
Hypoport SE,HYQ,DE,Diversified Financials,Other Diversified Financial Services,A,6.5,8.0,4.1,5.2
"Hypotecni banka, as",,CZ,Banks,Diversified Banks,AAA,10.0,10.0,5.3,7.5
Hyprop Investments Limited,HYP,ZA,Real Estate Management & Services,Retail REITs,AA,7.9,6.2,6.1,7.2
Hysan (MTN) Limited,,HK,Real Estate Development & Diversified Activities,Real Estate Operating Companies,A,6.8,5.1,8.7,5.1
"Hyundai Chemical Co, Ltd",,KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BB,3.8,4.6,5.7,4.5
"Hyundai Construction Equipment Co, Ltd",267270,KR,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,BB,3.6,3.4,5.4,3.6
"Hyundai Department Store Co,Ltd",069960,KR,Retail - Consumer Discretionary,Department Stores,CCC,0.5,2.3,2.9,1.6
"Hyundai Doosan Infracore Co, Ltd",042670,KR,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,BB,3.1,3.9,5.0,3.3
"Hyundai Electric & Energy Systems Co, Ltd",267260,KR,Electrical Equipment,Heavy Electrical Equipment,BB,3.0,5.8,5.6,4.3
"Hyundai Futurenet Co, Ltd",126560,KR,Media & Entertainment,Cable & Satellite,BB,3.7,6.7,5.1,2.5
"Hyundai Green Food Co,Ltd",005440,KR,Retail - Food & Staples,Food Distributors,B,1.9,3.2,5.2,2.5
"Hyundai Oilbank Co, Ltd",,KR,"Oil & Gas Refining, Marketing, Transportation & Storage",Oil & Gas Refining & Marketing,BB,3.8,4.6,5.7,4.5
Hyzon Motors Inc,HYZN,US,Construction & Farm Machinery & Heavy Trucks,Construction Machinery & Heavy Trucks,B,2.1,1.7,3.4,4.5
I-Mab,IMAB,CN,Biotechnology,Biotechnology,BBB,4.8,6.7,4.2,5.0
"I3 VERTICALS, INC",IIIV,US,Software & Services,Data Processing & Outsourced Services,B,1.7,6.7,2.0,4.2
"I3 VERTICALS, LLC",,US,Software & Services,Data Processing & Outsourced Services,B,1.7,6.7,2.0,4.2
"IAA, INC",IAA,US,Commercial Services & Supplies,Diversified Support Services,AA,8.0,6.7,6.9,6.6
"IAC GROUP, LLC",,US,Interactive Media & Services,Interactive Media & Services,B,2.4,6.2,1.9,4.5
IACINTERACTIVECORP,IAC,US,Interactive Media & Services,Interactive Media & Services,CCC,0.0,6.2,1.3,2.7
IAMGOLD CORPORATION,IMG,CA,Metals and Mining - Precious Metals,Gold,AA,7.6,4.1,6.5,8.0
IAR Systems Group AB,IAR B,SE,Software & Services,Application Software,BBB,5.5,3.7,3.9,5.7
IBERDROLA FINANCE IRELAND LIMITED,IBE,IE,Utilities,Electric Utilities,AAA,9.5,9.0,8.4,5.3
IBERDROLA FINANZAS SOCIEDAD ANONIMA,IBE,ES,Utilities,Electric Utilities,AAA,9.5,9.0,8.4,5.3
IBERIA LAE SA Operadora Unipersonal,,ES,Airlines,Airlines,B,2.8,2.5,3.9,4.4
"IBIDEN CO,LTD",4062,JP,"Electronic Equipment, Instruments & Components",Electronic Components,AAA,9.0,6.8,7.3,4.1
IBK Capital Corporation,,KR,Banks,Diversified Banks,BB,4.1,1.6,4.5,3.5
"IBK INSURANCE CO,LTD",,KR,Banks,Diversified Banks,BB,4.1,1.6,4.5,3.5
"IBK Securities Co, Ltd",,KR,Banks,Diversified Banks,BB,4.1,1.6,4.5,3.5
IBSTOCK PLC,IBST,GB,Construction Materials,Construction Materials,AA,8.2,4.2,5.2,7.6
ICADE SA,ICAD,FR,Real Estate Management & Services,Diversified REITs,AA,7.4,5.9,6.5,5.6
ICADE SANTE SA,,FR,Real Estate Management & Services,Diversified REITs,AA,7.4,5.9,6.5,5.6
ICAHN ENTERPRISES LP,IEP,US,Industrial Conglomerates,Industrial Conglomerates,BB,3.7,2.9,4.3,3.3
ICBC (LONDON) PLC,,GB,Banks,Diversified Banks,BBB,5.1,4.3,4.0,5.3
ICBC (Thai) Leasing Company Limited,,TH,Banks,Diversified Banks,BBB,5.1,4.3,4.0,5.3
"ICBC Financial Asset Investment Co, Ltd",,CN,Banks,Diversified Banks,BBB,5.1,4.3,4.0,5.3
"ICBC Financial Leasing Co, Ltd",,CN,Banks,Diversified Banks,BBB,5.1,4.3,4.0,5.3
ICBC STANDARD BANK PLC,,GB,Banks,Diversified Banks,BBB,5.1,4.3,4.0,5.3
"ICBCIL Finance Co, Limited",,HK,Diversified Financials,Diversified Banks,BBB,5.1,4.3,4.0,5.3
ICCREA BANCA SPA - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO,ICCRT,IT,Banks,,BBB,4.3,3.1,3.8,5.6
ICCREA BANCAIMPRESA SPA,ICCRT,IT,Banks,,BBB,4.3,3.1,3.8,5.6
ICD FUNDING LIMITED,,KY,Diversified Financials,,CCC,0.0,6.4,1.9,1.5
ICD SUKUK COMPANY LIMITED,MAPEF,KY,Diversified Financials,,CCC,0.0,6.4,1.9,1.5
"ICF INTERNATIONAL, INC",ICFI,US,Professional Services,Research & Consulting Services,A,6.7,10.0,5.7,5.8
"ICG COMMUNICATIONS, INC",,US,Telecommunication Services,Alternative Carriers,A,6.6,10.0,5.7,4.4
"ICG FUNDING, LLC",,US,Telecommunication Services,Alternative Carriers,A,6.6,10.0,5.7,4.4
"ICG SERVICES, INC",,US,Telecommunication Services,Alternative Carriers,A,6.6,10.0,5.7,4.4
"ICHIBANYA CO,LTD",7630,JP,Restaurants,Restaurants,BB,2.87,2.0,4.4,3.5
"ICHIKOH INDUSTRIES, LTD",7244,JP,Auto Components,Auto Parts & Equipment,A,6.7,4.9,7.6,2.0
"ICHOR HOLDINGS, LTD",ICHR,US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,BBB,5.5,3.6,5.3,6.2
ICHTHYS LNG PTY LTD,,AU,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,AAA,9.0,7.3,7.4,3.0
ICICI BANK LIMITED,,AE,Banks,Diversified Banks,A,6.2,6.0,5.1,3.4
ICICI BANK LIMITED,ICICIBANK,IN,Banks,Diversified Banks,A,6.2,6.0,5.1,3.4
ICICI BANK UK PLC,,GB,Banks,Diversified Banks,A,6.2,6.0,5.1,3.4
ICICI Bank Limited (New York Branch),,US,Banks,Diversified Banks,A,6.2,6.0,5.1,3.4
ICICI HOME FINANCE COMPANY LIMITED,,IN,Banks,Diversified Banks,A,6.2,6.0,5.1,3.4
ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,ICICIGI,IN,Property & Casualty Insurance,Property & Casualty Insurance,BBB,5.0,1.6,4.9,6.3
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI,IN,Life & Health Insurance,Life & Health Insurance,A,6.4,4.1,4.8,5.3
ICICI SECURITIES LIMITED,ISEC,IN,Investment Banking & Brokerage,Investment Banking & Brokerage,BB,4.0,3.4,2.5,4.7
ICICI SECURITIES PRIMARY DEALERSHIP LIMITED,,IN,Banks,Diversified Banks,A,6.2,6.0,5.1,3.4
ICL GROUP LTD,ICL,IL,Specialty Chemicals,Fertilizers & Agricultural Chemicals,BB,3.9,3.8,5.0,4.0
ICTSI Treasury BV,,NL,Transportation Infrastructure,Marine Ports & Services,B,2.6,6.8,3.3,2.4
"ICU MEDICAL, INC",ICUI,US,Health Care Equipment & Supplies,Health Care Supplies,BBB,5.0,7.6,5.6,4.6
ID LOGISTICS SAS,IDL,FR,Air Freight & Logistics,Air Freight & Logistics,BBB,5.7,7.2,3.1,5.6
"IDACORP, INC",IDA,US,Utilities,Electric Utilities,A,6.7,6.1,4.7,6.9
