Company Name,Ticker,Country,Sector,Subsector, Overall ESG RATING, Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
ABM INDUSTRIES INCORPORATED,ABM,US,Commercial Services & Supplies,Environmental & Facilities Services,A,7.1,8.3,5.9,6.1
ABN AMRO Bank NV,ABN,NL,Banks,Diversified Banks,A,7.0,9.2,3.5,4.7
ABN AMRO FUNDING USA LLC,,US,Banks,Diversified Banks,A,7.0,9.2,3.5,4.7
ABOITIZ EQUITY VENTURES INC,AEV,PH,Industrial Conglomerates,Industrial Conglomerates,BBB,4.9,4.9,3.3,3.8
ABP FINANCE PLC,ABPSB,GB,Transportation Infrastructure,,A,5.9,5.8,6.9,5.5
ABPA HOLDINGS LIMITED,ABPSB,GB,Transportation Infrastructure,,A,5.9,5.8,6.9,5.5
ABQ FINANCE LIMITED,,KY,Banks,Diversified Banks,BB,3.3,0.3,4.6,1.4
ABR Reinsurance Capital Holdings Ltd,,BM,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,5.6,4.7,5.2
ABRDN PLC,ABDN,GB,Asset Management & Custody Banks,Asset Management & Custody Banks,AA,8.2,10.0,5.1,8.2
ABSA BANK LIMITED,ABSP,ZA,Banks,Diversified Banks,AA,8.4,7.6,4.9,5.4
ABSA GROUP LIMITED,ABG,ZA,Banks,Diversified Banks,AA,8.4,7.6,4.9,5.4
ABSOLUTE SOFTWARE CORPORATION,ABST,CA,Software & Services,Systems Software,BBB,5.5,4.8,3.9,5.1
ABU DHABI NATIONAL ENERGY COMPANY - PJSC,TAQA,AE,Utilities,Multi-Utilities,B,2.8,5.3,3.9,1.7
ABU DHABI NATIONAL OIL COMPANY FOR DISTRIBUTION PJSC,ADNOCDIST,AE,"Oil & Gas Refining, Marketing, Transportation & Storage",Automotive Retail,A,7.0,6.4,6.6,3.4
AC Bebidas S de RL de CV,,MX,Beverages,Soft Drinks,A,6.7,6.1,5.4,4.6
AC ENERGY FINANCE INTERNATIONAL LIMITED,,KY,Industrial Conglomerates,Industrial Conglomerates,BBB,4.4,3.3,5.2,0.9
AC Energy Corporation,ACEN,PH,Utilities,Independent Power Producers & Energy Traders,BB,3.7,4.0,5.3,4.5
"ACADEMY SPORTS AND OUTDOORS, INC",ASO,US,Retail - Consumer Discretionary,Specialty Stores,A,6.1,1.6,4.5,6.5
"ACADEMY, LTD",ASO,US,Retail - Consumer Discretionary,Specialty Stores,A,6.1,1.6,4.5,6.5
"ACADIA HEALTHCARE COMPANY, INC",ACHC,US,Health Care Providers & Services,Health Care Facilities,A,7.0,6.5,5.2,6.3
ACADIA PHARMACEUTICALS INC,ACAD,US,Biotechnology,Biotechnology,BBB,4.5,3.1,4.4,5.2
ACADIA REALTY LIMITED PARTNERSHIP,,US,Real Estate Management & Services,Retail REITs,BB,4.2,6.2,5.0,4.1
ACADIA REALTY TRUST,AKR,US,Real Estate Management & Services,Retail REITs,BB,4.2,6.2,5.0,4.1
ACC LIMITED,ACC,IN,Construction Materials,Construction Materials,B,1.6,2.0,2.6,2.6
"ACCEL ENTERTAINMENT, INC",ACEL,US,Casinos & Gaming,Casinos & Gaming,A,7.0,4.8,6.5,4.9
"ACCELERATE DIAGNOSTICS, INC",AXDX,US,Health Care Equipment & Supplies,Health Care Equipment,AA,7.9,6.0,6.0,6.7
ACCENT CAPITAL PLC,,GB,Real Estate Management & Services,,BBB,5.0,2.6,7.6,6.8
ACCENT HOUSING LIMITED,ACCNT,GB,Real Estate Management & Services,,BBB,5.0,2.6,7.6,6.8
ACCENTURE CAPITAL INC,,US,Software & Services,IT Consulting & Other Services,AA,7.6,7.5,4.1,5.3
ACCENTURE PUBLIC LIMITED COMPANY,ACN,IE,Software & Services,IT Consulting & Other Services,AA,7.6,7.5,4.1,5.3
ACCESS BANK PLC,ACCESS,NG,Banks,Diversified Banks,BBB,5.0,0.9,4.4,2.9
ACCIONA ENERGIA FINANCIACION FILIALES SA,,ES,Utilities,Renewable Electricity,AA,8.4,9.1,6.4,5.6
ACCO BRANDS CORPORATION,ACCO,US,Commercial Services & Supplies,Office Services & Supplies,A,6.1,8.8,2.8,5.3
ACCOR SA,AC,FR,Hotels & Travel,"Hotels, Resorts & Cruise Lines",A,6.9,6.3,4.3,5.7
"ACCORDIA GOLF co,Ltd",,JP,Telecommunication Services,Asset Management & Custody Banks,BBB,5.1,10.0,5.6,4.0
"ACCRUENT, LLC",,US,Industrial Machinery,Industrial Machinery,A,6.3,4.8,6.1,5.0
ACE CAPITAL TRUST II,,US,Property & Casualty Insurance,Property & Casualty Insurance,A,6.7,5.6,4.7,5.2
ACEA SPA,ACE,IT,Utilities,Multi-Utilities,A,6.3,7.3,5.4,3.9
ACEF Holding SCA,,LU,Multi-Line Insurance & Brokerage,Multi-line Insurance,AAA,9.1,9.5,7.3,4.6
ACEF SA,,BR,Diversified Consumer Services,Education Services,B,2.1,6.0,3.5,3.4
ACEN FINANCE LIMITED,,KY,Utilities,Independent Power Producers & Energy Traders,BB,3.7,4.0,5.3,4.5
ACER INCORPORATED,2353,TW,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",AAA,10.0,3.7,7.3,5.9
"ACI WORLDWIDE, INC",ACIW,US,Software & Services,Application Software,AA,7.6,4.9,5.5,6.1
ACKERMANS & VAN HAAREN NV,ACKB,BE,Diversified Financials,Construction & Engineering,BBB,5.5,10.0,4.6,3.9
ACM Research Inc,ACMR,US,Semiconductors & Semiconductor Equipment,Semiconductor Equipment,B,1.8,3.5,4.6,3.6
ACROSS FinCo Sa rl,,LU,Real Estate Management & Services,Real Estate Operating Companies,BBB,4.7,4.4,5.9,5.5
"ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, SA",ACS,ES,Construction & Engineering,Construction & Engineering,A,5.8,5.8,7.1,5.1
"ACS, Servicios Comunicaciones y Energia, SL",,ES,Construction & Engineering,Construction & Engineering,A,5.8,5.8,7.1,5.1
ACTIAN CORPORATION,,US,Software & Services,IT Consulting & Other Services,A,6.9,6.8,3.8,6.8
ACTIONS PRIVILEGIEES ENERGIE RENOUVELABLE BROOKFIELD INC,,CA,Utilities,Renewable Electricity,BBB,5.6,6.7,5.6,4.4
"ACTIVISION BLIZZARD, INC",ATVI,US,Media & Entertainment,Interactive Home Entertainment,BBB,5.0,8.3,4.7,3.9
"ACUITY BRANDS LIGHTING, INC",,US,Electrical Equipment,Electrical Components & Equipment,AA,8.1,6.9,5.4,5.3
"ACUITY BRANDS, INC",AYI,US,Electrical Equipment,Electrical Components & Equipment,AA,8.1,6.9,5.4,5.3
ACUSHNET COMPANY,,US,Leisure Products,Leisure Products,BB,3.5,0.4,5.7,4.3
ACUSHNET HOLDINGS CORP,GOLF,US,Leisure Products,Leisure Products,BB,3.5,0.4,5.7,4.3
ACV AUCTIONS INC,ACVA,US,Commercial Services & Supplies,Diversified Support Services,BB,4.1,6.2,3.3,5.1
ADAIRS LIMITED,ADH,AU,Retail - Consumer Discretionary,Homefurnishing Retail,BB,3.7,3.2,2.2,6.1
ADANI ELECTRICITY MUMBAI LIMITED,,IN,Utilities,Electric Utilities,BBB,4.6,7.0,4.2,2.8
ADANI ENTERPRISES LIMITED,ADANIENT,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.1,3.3,0.0
ADANI GREEN ENERGY (MP) LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI GREEN ENERGY (UP) LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI GREEN ENERGY LIMITED,ADANIGREEN,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI GREEN ENERGY TWENTY THREE LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI GREEN TECHNOLOGY LIMITED,,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.1,3.3,0.0
ADANI GUWAHATI INTERNATIONAL AIRPORT LIMITED,,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.1,3.3,0.0
ADANI HYBRID ENERGY JAISALMER ONE LIMITED,,IN,Utilities,Renewable Electricity,A,6.3,7.8,4.8,4.0
ADANI JAIPUR INTERNATIONAL AIRPORT LIMITED,,IN,Trading Companies & Distributors,Trading Companies & Distributors,CCC,0.0,4.1,3.3,0.0
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS,IN,Transportation Infrastructure,Marine Ports & Services,CCC,0.0,4.8,2.8,1.0
